student_id,date_registered,total_minutes_watched,num_paid_days,buckets
260111,2022-01-12,1556.91,292,"(1000, 2000]"
260715,2022-01-17,491.61,21,"(480, 1000]"
261510,2022-01-25,467.55,278,"(240, 480]"
260126,2022-01-12,1714.79,292,"(1000, 2000]"
261059,2022-01-20,942.46,281,"(480, 1000]"
260998,2022-01-19,4406.57,284,"(4000, 6000]"
262190,2022-01-31,82.77,89,"(60, 120]"
261995,2022-01-30,1530.34,57,"(1000, 2000]"
261782,2022-01-27,213.45,277,"(120, 240]"
260702,2022-01-17,42.5,279,"(30, 60]"
263120,2022-02-08,1761.04,265,"(1000, 2000]"
262392,2022-02-02,795.5,271,"(480, 1000]"
258818,2022-01-01,1392.1,301,"(1000, 2000]"
261239,2022-01-22,2055.22,278,"(2000, 3000]"
262908,2022-02-07,299.02,63,"(240, 480]"
263786,2022-02-15,3422.96,28,"(3000, 4000]"
262414,2022-02-03,2710.13,270,"(2000, 3000]"
261263,2022-01-22,2415.69,282,"(2000, 3000]"
260608,2022-01-16,3036.52,284,"(3000, 4000]"
265462,2022-03-01,232.96,244,"(120, 240]"
264694,2022-02-23,3567.61,28,"(3000, 4000]"
261022,2022-01-20,370.24,284,"(240, 480]"
263480,2022-02-13,2550.43,59,"(2000, 3000]"
264361,2022-02-20,2572.65,28,"(2000, 3000]"
261756,2022-01-27,4716.61,277,"(4000, 6000]"
265628,2022-03-02,1459.82,237,"(1000, 2000]"
262585,2022-02-03,2475.35,270,"(2000, 3000]"
261227,2022-01-22,169,282,"(120, 240]"
261778,2022-01-27,3607.03,277,"(3000, 4000]"
263648,2022-02-14,238.4,256,"(120, 240]"
263639,2022-02-14,3265.79,259,"(3000, 4000]"
261785,2022-01-27,5365.11,277,"(4000, 6000]"
259524,2022-01-06,2827.11,278,"(2000, 3000]"
263672,2022-02-14,230.46,259,"(120, 240]"
267496,2022-03-16,738.84,229,"(480, 1000]"
267812,2022-03-18,2702.43,226,"(2000, 3000]"
263479,2022-02-13,1419.14,59,"(1000, 2000]"
263231,2022-02-09,669.45,261,"(480, 1000]"
261766,2022-01-27,761.06,277,"(480, 1000]"
268257,2022-03-22,348.37,223,"(240, 480]"
260033,2022-01-11,136.38,286,"(120, 240]"
263693,2022-02-15,1143.1,122,"(1000, 2000]"
264404,2022-02-21,1375.37,250,"(1000, 2000]"
266529,2022-03-09,2862.73,236,"(2000, 3000]"
268516,2022-03-24,1499.54,215,"(1000, 2000]"
267487,2022-03-16,603.04,31,"(480, 1000]"
258800,2022-01-01,531.02,303,"(480, 1000]"
262988,2022-02-07,4964.94,264,"(4000, 6000]"
268817,2022-03-28,278.85,215,"(240, 480]"
269646,2022-04-04,1189.66,91,"(1000, 2000]"
267286,2022-03-14,945.13,225,"(480, 1000]"
268390,2022-03-23,2009.42,30,"(2000, 3000]"
266112,2022-03-06,5195.28,30,"(4000, 6000]"
268805,2022-03-28,1880.23,214,"(1000, 2000]"
265003,2022-02-25,785.99,30,"(480, 1000]"
270018,2022-04-08,140.25,61,"(120, 240]"
269314,2022-04-02,3990.12,212,"(3000, 4000]"
260042,2022-01-11,2857.65,255,"(2000, 3000]"
270648,2022-04-13,103.13,91,"(60, 120]"
264146,2022-02-18,6985.78,248,6000+
265927,2022-03-05,63.4,216,"(60, 120]"
259504,2022-01-06,2891.97,295,"(2000, 3000]"
268152,2022-03-21,1816.14,224,"(1000, 2000]"
263368,2022-02-11,1047.28,260,"(1000, 2000]"
271670,2022-04-23,267.59,191,"(240, 480]"
270014,2022-04-07,342.96,206,"(240, 480]"
262044,2022-01-30,0.58,216,"(0, 30]"
259767,2022-01-09,3822.85,295,"(3000, 4000]"
261801,2022-01-28,3661.64,276,"(3000, 4000]"
263683,2022-02-14,701.83,247,"(480, 1000]"
270486,2022-04-11,946.2,30,"(480, 1000]"
261593,2022-01-25,510.38,279,"(480, 1000]"
270710,2022-04-13,912.16,61,"(480, 1000]"
262821,2022-02-06,1754.64,267,"(1000, 2000]"
262641,2022-02-04,2740.28,268,"(2000, 3000]"
263706,2022-02-15,148.88,252,"(120, 240]"
264476,2022-02-21,1866.34,252,"(1000, 2000]"
268825,2022-03-28,3061.23,214,"(3000, 4000]"
271348,2022-04-20,1069.17,194,"(1000, 2000]"
273953,2022-05-14,13.75,61,"(0, 30]"
272909,2022-05-05,7102.07,179,6000+
267936,2022-03-19,3224.44,215,"(3000, 4000]"
269204,2022-04-01,7698.46,213,6000+
265928,2022-03-05,4199.48,240,"(4000, 6000]"
272472,2022-04-30,3878.85,184,"(3000, 4000]"
258913,2022-01-02,1462.85,302,"(1000, 2000]"
270931,2022-04-15,951.34,199,"(480, 1000]"
274070,2022-05-16,2387.53,164,"(2000, 3000]"
274377,2022-05-18,235,166,"(120, 240]"
275021,2022-05-25,210.47,159,"(120, 240]"
274130,2022-05-16,1182.31,159,"(1000, 2000]"
270197,2022-04-09,101.02,205,"(60, 120]"
272842,2022-05-04,7303.85,92,6000+
263087,2022-02-08,1603.79,262,"(1000, 2000]"
275141,2022-05-26,94.92,5,"(60, 120]"
259860,2022-01-09,3537.48,294,"(3000, 4000]"
274904,2022-05-24,424.95,159,"(240, 480]"
264141,2022-02-18,83.19,255,"(60, 120]"
265588,2022-03-02,3005.91,237,"(3000, 4000]"
274611,2022-05-21,433.77,153,"(240, 480]"
275038,2022-05-25,715.05,27,"(480, 1000]"
268011,2022-03-19,5711.64,225,"(4000, 6000]"
268410,2022-03-23,1564.72,222,"(1000, 2000]"
276135,2022-06-02,1342.39,147,"(1000, 2000]"
259870,2022-01-10,1986.24,276,"(1000, 2000]"
265966,2022-03-05,3701.62,240,"(3000, 4000]"
275282,2022-05-28,941.87,31,"(480, 1000]"
260173,2022-01-12,3948.02,291,"(3000, 4000]"
268926,2022-03-30,7672.66,215,6000+
271856,2022-04-25,688.89,153,"(480, 1000]"
274564,2022-05-20,3706.76,161,"(3000, 4000]"
272717,2022-05-03,2709.19,92,"(2000, 3000]"
272865,2022-05-05,787.01,61,"(480, 1000]"
272255,2022-04-28,713.96,61,"(480, 1000]"
273936,2022-05-14,205.55,170,"(120, 240]"
274039,2022-05-15,2918.26,169,"(2000, 3000]"
276829,2022-06-06,133.48,147,"(120, 240]"
269874,2022-04-06,490.81,83,"(480, 1000]"
277864,2022-06-15,2593.06,135,"(2000, 3000]"
272586,2022-05-02,778.38,153,"(480, 1000]"
262784,2022-02-05,2185.68,268,"(2000, 3000]"
268357,2022-03-23,3108.67,222,"(3000, 4000]"
277066,2022-06-08,1024.26,143,"(1000, 2000]"
277557,2022-06-12,1502.27,30,"(1000, 2000]"
262643,2022-02-04,5003.97,224,"(4000, 6000]"
269518,2022-04-03,2279.67,209,"(2000, 3000]"
272058,2022-04-26,1096.18,159,"(1000, 2000]"
278940,2022-06-22,782.47,30,"(480, 1000]"
279519,2022-06-28,188.16,125,"(120, 240]"
275050,2022-05-25,657.61,159,"(480, 1000]"
274814,2022-05-23,1164.54,161,"(1000, 2000]"
270075,2022-04-08,2835.16,204,"(2000, 3000]"
280114,2022-07-02,530.83,92,"(480, 1000]"
274906,2022-05-24,3087.99,154,"(3000, 4000]"
263913,2022-02-17,983.43,256,"(480, 1000]"
272991,2022-05-06,2354.5,178,"(2000, 3000]"
262459,2022-02-03,3156.06,269,"(3000, 4000]"
280134,2022-07-03,2023.53,119,"(2000, 3000]"
275470,2022-05-30,2162.26,153,"(2000, 3000]"
281297,2022-07-12,154.24,31,"(120, 240]"
270738,2022-04-13,3103.63,201,"(3000, 4000]"
275495,2022-05-31,9.32,152,"(0, 30]"
266814,2022-03-11,676.94,31,"(480, 1000]"
281961,2022-07-18,885.71,31,"(480, 1000]"
262761,2022-02-05,790.93,223,"(480, 1000]"
278753,2022-06-21,2143.18,130,"(2000, 3000]"
274908,2022-05-24,866.28,160,"(480, 1000]"
280218,2022-07-03,929.78,31,"(480, 1000]"
280427,2022-07-05,280.72,62,"(240, 480]"
280249,2022-07-04,2878.45,112,"(2000, 3000]"
274050,2022-05-15,3918.79,153,"(3000, 4000]"
274996,2022-05-25,2620.75,159,"(2000, 3000]"
261019,2022-01-20,2348.14,282,"(2000, 3000]"
274000,2022-05-15,182.68,169,"(120, 240]"
277012,2022-06-08,2270.03,122,"(2000, 3000]"
266512,2022-03-09,3455.68,232,"(3000, 4000]"
282838,2022-07-28,380.2,95,"(240, 480]"
279409,2022-06-27,1029.14,125,"(1000, 2000]"
280548,2022-07-06,980.65,55,"(480, 1000]"
273671,2022-05-12,1207.49,172,"(1000, 2000]"
283005,2022-07-29,938.71,89,"(480, 1000]"
283239,2022-07-31,192.42,31,"(120, 240]"
274552,2022-05-20,1289.76,137,"(1000, 2000]"
283452,2022-08-01,328.19,85,"(240, 480]"
274861,2022-05-23,4532.27,154,"(4000, 6000]"
272977,2022-05-06,594.98,162,"(480, 1000]"
275126,2022-05-26,184.6,158,"(120, 240]"
282371,2022-07-23,1244.49,100,"(1000, 2000]"
282977,2022-07-29,3546.55,93,"(3000, 4000]"
274209,2022-05-17,2207.84,166,"(2000, 3000]"
259174,2022-01-04,4922.01,297,"(4000, 6000]"
277562,2022-06-12,2011.35,141,"(2000, 3000]"
283550,2022-08-02,87.65,88,"(60, 120]"
282803,2022-07-27,1670.82,31,"(1000, 2000]"
265415,2022-02-28,1710.2,245,"(1000, 2000]"
286884,2022-08-17,110.64,74,"(60, 120]"
281609,2022-07-15,1718.75,76,"(1000, 2000]"
284288,2022-08-07,448.65,61,"(240, 480]"
284438,2022-08-08,4486.94,82,"(4000, 6000]"
267064,2022-03-13,5085.2,228,"(4000, 6000]"
279722,2022-06-29,177.05,124,"(120, 240]"
261714,2022-01-27,1343.77,277,"(1000, 2000]"
275045,2022-05-25,5900.29,93,"(4000, 6000]"
285397,2022-08-14,1896.24,71,"(1000, 2000]"
286824,2022-08-17,557.13,31,"(480, 1000]"
260971,2022-01-19,906.78,285,"(480, 1000]"
268883,2022-03-29,200.22,164,"(120, 240]"
275158,2022-05-27,178.53,152,"(120, 240]"
282594,2022-07-25,901.53,37,"(480, 1000]"
271154,2022-04-18,3556.33,194,"(3000, 4000]"
288637,2022-08-29,783.52,62,"(480, 1000]"
288505,2022-08-29,224.3,61,"(120, 240]"
280613,2022-07-07,3900.34,110,"(3000, 4000]"
263309,2022-02-10,804.41,178,"(480, 1000]"
261682,2022-01-26,6636.44,277,6000+
289019,2022-09-01,269.88,56,"(240, 480]"
288140,2022-08-26,38.37,62,"(30, 60]"
289270,2022-09-03,2220.05,58,"(2000, 3000]"
287721,2022-08-23,61.57,31,"(60, 120]"
276439,2022-06-03,6371.96,122,6000+
282591,2022-07-25,1621.76,98,"(1000, 2000]"
263783,2022-02-15,862.72,258,"(480, 1000]"
278642,2022-06-20,749.09,133,"(480, 1000]"
263825,2022-02-16,2158.73,64,"(2000, 3000]"
277322,2022-06-10,1255.55,116,"(1000, 2000]"
277609,2022-06-13,4020.53,137,"(4000, 6000]"
271185,2022-04-18,2336.87,159,"(2000, 3000]"
286199,2022-08-15,405.15,30,"(240, 480]"
282954,2022-07-29,1926.83,92,"(1000, 2000]"
290226,2022-09-11,2971.86,50,"(2000, 3000]"
262634,2022-02-04,697.62,269,"(480, 1000]"
288071,2022-08-25,118.95,42,"(60, 120]"
290719,2022-09-14,91.83,47,"(60, 120]"
285352,2022-08-14,2626.32,78,"(2000, 3000]"
271465,2022-04-21,1099.41,177,"(1000, 2000]"
262112,2022-01-31,2140.89,215,"(2000, 3000]"
283510,2022-08-02,936.97,30,"(480, 1000]"
276784,2022-06-06,1026.92,147,"(1000, 2000]"
280827,2022-07-08,236.87,115,"(120, 240]"
292627,2022-09-30,172.85,31,"(120, 240]"
280148,2022-07-03,75.05,41,"(60, 120]"
260754,2022-01-17,4308.6,283,"(4000, 6000]"
284241,2022-08-07,900.86,84,"(480, 1000]"
291789,2022-09-23,1943.97,31,"(1000, 2000]"
280121,2022-07-02,4170.18,118,"(4000, 6000]"
288284,2022-08-27,738.29,61,"(480, 1000]"
291412,2022-09-20,184.15,32,"(120, 240]"
261820,2022-01-28,835.73,276,"(480, 1000]"
292720,2022-09-30,536.14,25,"(480, 1000]"
280545,2022-07-06,210.36,115,"(120, 240]"
290487,2022-09-13,251.77,48,"(240, 480]"
287739,2022-08-23,434.82,69,"(240, 480]"
282601,2022-07-25,1258.29,38,"(1000, 2000]"
266001,2022-03-05,5039.16,239,"(4000, 6000]"
293713,2022-10-07,1171.6,23,"(1000, 2000]"
291425,2022-09-20,2041.91,35,"(2000, 3000]"
261721,2022-01-27,568.17,277,"(480, 1000]"
277403,2022-06-11,3754.03,122,"(3000, 4000]"
291561,2022-09-21,182.84,40,"(120, 240]"
291462,2022-09-20,1368.32,41,"(1000, 2000]"
288345,2022-08-27,2613.46,64,"(2000, 3000]"
292574,2022-09-29,1033.73,32,"(1000, 2000]"
260980,2022-01-19,3341.05,277,"(3000, 4000]"
282032,2022-07-19,428.4,95,"(240, 480]"
295949,2022-10-24,23.09,1,"(0, 30]"
268287,2022-03-22,2951.53,215,"(2000, 3000]"
286826,2022-08-17,4458.43,74,"(4000, 6000]"
282529,2022-07-25,405.69,97,"(240, 480]"
275461,2022-05-30,129.27,31,"(120, 240]"
275505,2022-05-31,718.99,64,"(480, 1000]"
294948,2022-10-16,356.48,9,"(240, 480]"
279735,2022-06-29,737.56,11,"(480, 1000]"
265370,2022-02-28,154.03,92,"(120, 240]"
260646,2022-01-16,1279.26,288,"(1000, 2000]"
261121,2022-01-21,1959.69,282,"(1000, 2000]"
260977,2022-01-19,441.26,285,"(240, 480]"
262819,2022-02-06,597.54,263,"(480, 1000]"
262675,2022-02-04,137.44,28,"(120, 240]"
260356,2022-01-14,1010.62,289,"(1000, 2000]"
262580,2022-02-03,1443.86,263,"(1000, 2000]"
262470,2022-02-03,464.03,270,"(240, 480]"
261171,2022-01-21,3617.52,279,"(3000, 4000]"
261802,2022-01-28,3839.1,276,"(3000, 4000]"
265328,2022-02-28,939.88,244,"(480, 1000]"
264425,2022-02-21,1551.17,245,"(1000, 2000]"
264076,2022-02-18,2570.3,28,"(2000, 3000]"
265878,2022-03-04,1444.68,240,"(1000, 2000]"
259657,2022-01-07,4411.72,296,"(4000, 6000]"
260345,2022-01-14,4639.66,279,"(4000, 6000]"
264623,2022-02-22,1238.32,245,"(1000, 2000]"
266386,2022-03-08,212.57,61,"(120, 240]"
266680,2022-03-10,564.45,31,"(480, 1000]"
261466,2022-01-24,3560.73,211,"(3000, 4000]"
266901,2022-03-12,299.74,19,"(240, 480]"
264761,2022-02-23,2072.5,60,"(2000, 3000]"
268412,2022-03-23,306.58,61,"(240, 480]"
261668,2022-01-26,2084.84,264,"(2000, 3000]"
264826,2022-02-24,1851.57,248,"(1000, 2000]"
267613,2022-03-16,139.55,229,"(120, 240]"
262377,2022-02-02,664.69,264,"(480, 1000]"
261777,2022-01-27,4636.58,277,"(4000, 6000]"
261753,2022-01-27,61.86,31,"(60, 120]"
261158,2022-01-21,350.56,283,"(240, 480]"
262578,2022-02-03,230.21,4,"(120, 240]"
268811,2022-03-28,605.57,210,"(480, 1000]"
263859,2022-02-16,707.74,253,"(480, 1000]"
269843,2022-04-06,513.45,64,"(480, 1000]"
268529,2022-03-25,338.12,30,"(240, 480]"
268374,2022-03-23,94.44,221,"(60, 120]"
269485,2022-04-03,921.82,211,"(480, 1000]"
262406,2022-02-03,786.47,270,"(480, 1000]"
267898,2022-03-18,1681.59,220,"(1000, 2000]"
268796,2022-03-28,2221.4,61,"(2000, 3000]"
263293,2022-02-10,3823.68,257,"(3000, 4000]"
265310,2022-02-28,1482.72,232,"(1000, 2000]"
262487,2022-02-03,175.12,188,"(120, 240]"
271896,2022-04-25,342.24,188,"(240, 480]"
269040,2022-03-30,3186.64,215,"(3000, 4000]"
266731,2022-03-10,501.38,206,"(480, 1000]"
265967,2022-03-05,1604.26,238,"(1000, 2000]"
273034,2022-05-06,442.53,61,"(240, 480]"
268990,2022-03-30,2892.71,215,"(2000, 3000]"
272059,2022-04-26,15.68,16,"(0, 30]"
272035,2022-04-26,2087.6,188,"(2000, 3000]"
269064,2022-03-31,1787.32,172,"(1000, 2000]"
273371,2022-05-10,168.53,31,"(120, 240]"
270009,2022-04-07,327.83,179,"(240, 480]"
268800,2022-03-28,992.68,216,"(480, 1000]"
273464,2022-05-10,408.83,7,"(240, 480]"
272199,2022-04-28,728.88,91,"(480, 1000]"
273423,2022-05-10,5897.06,123,"(4000, 6000]"
266725,2022-03-10,831.28,92,"(480, 1000]"
266766,2022-03-11,3495.75,234,"(3000, 4000]"
271761,2022-04-24,1765.08,188,"(1000, 2000]"
263494,2022-02-13,798.04,258,"(480, 1000]"
269741,2022-04-05,4779.08,207,"(4000, 6000]"
266788,2022-03-11,1480.33,122,"(1000, 2000]"
271114,2022-04-17,183.72,153,"(120, 240]"
269898,2022-04-07,468.61,200,"(240, 480]"
275438,2022-05-30,67.24,154,"(60, 120]"
272965,2022-05-06,3596.11,178,"(3000, 4000]"
268558,2022-03-25,406.79,220,"(240, 480]"
266308,2022-03-07,57.78,238,"(30, 60]"
273126,2022-05-07,757.82,177,"(480, 1000]"
261737,2022-01-27,1464.07,277,"(1000, 2000]"
270460,2022-04-11,1399.33,92,"(1000, 2000]"
276490,2022-06-04,1165.84,30,"(1000, 2000]"
277728,2022-06-14,208.43,137,"(120, 240]"
263579,2022-02-14,536.89,214,"(480, 1000]"
276788,2022-06-06,977.72,131,"(480, 1000]"
275566,2022-05-31,448.38,153,"(240, 480]"
263759,2022-02-15,1560.21,258,"(1000, 2000]"
276562,2022-06-04,1060.53,93,"(1000, 2000]"
271950,2022-04-26,2250.91,188,"(2000, 3000]"
276938,2022-06-07,469.01,30,"(240, 480]"
266811,2022-03-11,213.7,91,"(120, 240]"
278280,2022-06-18,359.73,133,"(240, 480]"
269054,2022-03-31,1353.41,214,"(1000, 2000]"
261393,2022-01-24,2052.11,280,"(2000, 3000]"
277084,2022-06-08,4449.32,140,"(4000, 6000]"
280689,2022-07-07,1268.17,108,"(1000, 2000]"
278115,2022-06-17,241.26,130,"(240, 480]"
279738,2022-06-29,3017.7,123,"(3000, 4000]"
281787,2022-07-16,1748.28,106,"(1000, 2000]"
280772,2022-07-08,829.35,63,"(480, 1000]"
282669,2022-07-26,6.27,97,"(0, 30]"
260334,2022-01-14,26.16,97,"(0, 30]"
268090,2022-03-20,464.77,95,"(240, 480]"
277510,2022-06-12,43.36,97,"(30, 60]"
278788,2022-06-21,1535.78,132,"(1000, 2000]"
275624,2022-06-01,911.58,152,"(480, 1000]"
274498,2022-05-19,1971.96,163,"(1000, 2000]"
275449,2022-05-30,4435.74,154,"(4000, 6000]"
281753,2022-07-16,3834.28,107,"(3000, 4000]"
281796,2022-07-16,610.08,106,"(480, 1000]"
265130,2022-02-26,1463.98,247,"(1000, 2000]"
283720,2022-08-03,30.99,88,"(30, 60]"
261647,2022-01-26,1560.2,278,"(1000, 2000]"
283623,2022-08-02,401.19,83,"(240, 480]"
261790,2022-01-28,859.43,276,"(480, 1000]"
282088,2022-07-19,2480.95,31,"(2000, 3000]"
283730,2022-08-03,1109.71,31,"(1000, 2000]"
275741,2022-06-01,830.55,152,"(480, 1000]"
287180,2022-08-18,635.25,31,"(480, 1000]"
260813,2022-01-17,1184.5,283,"(1000, 2000]"
288142,2022-08-26,143.94,61,"(120, 240]"
286563,2022-08-16,322.54,74,"(240, 480]"
282542,2022-07-25,1871.14,97,"(1000, 2000]"
282430,2022-07-23,1007.57,100,"(1000, 2000]"
285411,2022-08-14,3554.64,78,"(3000, 4000]"
288315,2022-08-27,1394.02,65,"(1000, 2000]"
282586,2022-07-25,1767.51,97,"(1000, 2000]"
289263,2022-09-03,259.6,30,"(240, 480]"
284067,2022-08-05,178.52,87,"(120, 240]"
274781,2022-05-23,3119.97,136,"(3000, 4000]"
282273,2022-07-21,1822.54,102,"(1000, 2000]"
281294,2022-07-12,1667.43,61,"(1000, 2000]"
262569,2022-02-03,2613.07,243,"(2000, 3000]"
284566,2022-08-09,141.49,33,"(120, 240]"
281671,2022-07-15,2667.74,101,"(2000, 3000]"
272887,2022-05-05,309.79,139,"(240, 480]"
266187,2022-03-07,3040.95,101,"(3000, 4000]"
285406,2022-08-14,1412.82,78,"(1000, 2000]"
261819,2022-01-28,1940.23,276,"(1000, 2000]"
290496,2022-09-13,857.95,40,"(480, 1000]"
282218,2022-07-21,107.6,102,"(60, 120]"
261519,2022-01-25,1214.81,277,"(1000, 2000]"
269570,2022-04-04,1483.24,210,"(1000, 2000]"
282929,2022-07-29,83.75,94,"(60, 120]"
274893,2022-05-24,319.06,41,"(240, 480]"
292428,2022-09-28,492.45,33,"(480, 1000]"
265337,2022-02-28,1480.02,245,"(1000, 2000]"
275276,2022-05-28,1805,156,"(1000, 2000]"
291626,2022-09-22,1409.81,36,"(1000, 2000]"
290206,2022-09-11,441.13,12,"(240, 480]"
278764,2022-06-21,3281.65,131,"(3000, 4000]"
277953,2022-06-15,753.97,138,"(480, 1000]"
291744,2022-09-22,825.1,33,"(480, 1000]"
284482,2022-08-08,2021.56,73,"(2000, 3000]"
284954,2022-08-11,1535.6,79,"(1000, 2000]"
293894,2022-10-09,828.82,20,"(480, 1000]"
281993,2022-07-18,1588.5,105,"(1000, 2000]"
293083,2022-10-03,2691.3,24,"(2000, 3000]"
271519,2022-04-21,3094.09,187,"(3000, 4000]"
291576,2022-09-21,733.59,40,"(480, 1000]"
261674,2022-01-26,543.02,278,"(480, 1000]"
292151,2022-09-26,2341.61,32,"(2000, 3000]"
274825,2022-05-23,2625.86,161,"(2000, 3000]"
283406,2022-08-01,1293.85,87,"(1000, 2000]"
272510,2022-05-01,2672.81,181,"(2000, 3000]"
269110,2022-03-31,1053.88,33,"(1000, 2000]"
295829,2022-10-23,117.65,7,"(60, 120]"
295890,2022-10-24,38.27,5,"(30, 60]"
292572,2022-09-29,2009.62,32,"(2000, 3000]"
260910,2022-01-19,1597.63,285,"(1000, 2000]"
296033,2022-10-25,87.08,5,"(60, 120]"
294189,2022-10-11,524.82,3,"(480, 1000]"
288269,2022-08-27,1449.38,65,"(1000, 2000]"
260321,2022-01-13,873.63,289,"(480, 1000]"
260494,2022-01-15,360.68,31,"(240, 480]"
261610,2022-01-26,272.66,278,"(240, 480]"
261615,2022-01-26,5.4,0,"(0, 30]"
260952,2022-01-19,902.97,285,"(480, 1000]"
261359,2022-01-23,951.02,281,"(480, 1000]"
259865,2022-01-10,1075.75,61,"(1000, 2000]"
262738,2022-02-05,279.36,266,"(240, 480]"
264699,2022-02-23,214.36,28,"(120, 240]"
266462,2022-03-08,149.81,153,"(120, 240]"
266099,2022-03-06,26.97,239,"(0, 30]"
268989,2022-03-30,2047.22,215,"(2000, 3000]"
272261,2022-04-28,939.65,181,"(480, 1000]"
272282,2022-04-28,56.2,179,"(30, 60]"
265789,2022-03-03,372.34,239,"(240, 480]"
270599,2022-04-12,2576.8,63,"(2000, 3000]"
264295,2022-02-20,3198.29,193,"(3000, 4000]"
275362,2022-05-29,160,153,"(120, 240]"
276708,2022-06-06,567.42,7,"(480, 1000]"
